community_id,node_label,preferredName,queryItem,stringId
1,GAL3,GAL3,GAL3,4932.YDR009W
1,GAL4,GAL4,GAL4,4932.YPL248C
1,GAL80,GAL80,GAL80,4932.YML051W
1,GCN5,GCN5,GCN5,4932.YGR252W
1,GLO3,GLO3,GLO3,4932.YER122C
1,GPA1,GPA1,GPA1,4932.YHR005C
1,GRR1,GRR1,GRR1,4932.YJR090C
1,GYL1,GYL1,GYL1,4932.YMR192W
1,GYP5,GYP5,GYP5,4932.YPL249C
1,HAT1,HAT1,HAT1,4932.YPL001W
1,HAT2,HAT2,HAT2,4932.YEL056W
1,HDA1,HDA1,HDA1,4932.YNL021W
1,HDA2,HDA2,HDA2,4932.YDR295C
1,HDA3,HDA3,HDA3,4932.YPR179C
1,HFI1,HFI1,HFI1,4932.YPL254W
1,HHF1,HHF1,HHF1,4932.YBR009C
1,HHF2,HHF2,HHF2,4932.YNL030W
1,HHT1,HHT1,HHT1,4932.YBR010W
1,HHT2,HHT2,HHT2,4932.YNL031C
1,HIF1,HIF1,HIF1,4932.YLL022C
1,HIR1,HIR1,HIR1,4932.YBL008W
1,HIR2,HIR2,HIR2,4932.YOR038C
1,HIR3,HIR3,HIR3,4932.YJR140C
1,HOP1,HOP1,HOP1,4932.YIL072W
1,HOP2,HOP2,HOP2,4932.YGL033W
1,HPC2,HPC2,HPC2,4932.YBR215W
1,HRD1,HRD1,HRD1,4932.YOL013C
1,HRD3,HRD3,HRD3,4932.YLR207W
1,HRR25,HRR25,HRR25,4932.YPL204W
1,HRT1,HRT1,HRT1,4932.YOL133W
1,HSC82,HSC82,HSC82,4932.YMR186W
1,HTA1,HTA1,HTA1,4932.YDR225W
1,HTA2,HTA2,HTA2,4932.YBL003C
1,HTB1,HTB1,HTB1,4932.YDR224C
1,HTB2,HTB2,HTB2,4932.YBL002W
1,HTL1,HTL1,HTL1,4932.YCR020W-B
1,HTZ1,HTZ1,HTZ1,4932.YOL012C
1,IES1,IES1,IES1,4932.YFL013C
1,IES3,IES3,IES3,4932.YLR052W
1,IES4,IES4,IES4,4932.YOR189W
1,IKI1,IKI1,IKI1,4932.YHR187W
1,IKI3,IKI3,IKI3,4932.YLR384C
1,INO80,INO80,INO80,4932.YGL150C
1,IOC2,IOC2,IOC2,4932.YLR095C
1,IOC3,IOC3,IOC3,4932.YFR013W
1,IOC4,IOC4,IOC4,4932.YMR044W
1,IPI1,IPI1,IPI1,4932.YHR085W
1,IPI3,IPI3,IPI3,4932.YNL182C
1,IPL1,IPL1,IPL1,4932.YPL209C
1,IRR1,IRR1,IRR1,4932.YIL026C
1,ISD11,ISD11,ISD11,4932.YER048W-A
1,ISW1,ISW1,ISW1,4932.YBR245C
1,ISW2,ISW2,ISW2,4932.YOR304W
1,ITC1,ITC1,ITC1,4932.YGL133W
1,JNM1,JNM1,JNM1,4932.YMR294W
1,KAR2,KAR2,KAR2,4932.YJL034W
1,KEL1,KEL1,KEL1,4932.YHR158C
1,KEL2,KEL2,KEL2,4932.YGR238C
1,KIN28,KIN28,KIN28,4932.YDL108W
1,KRE29,KRE29,KRE29,4932.YER038C
1,LDB7,LDB7,LDB7,4932.YBL006C
1,LEO1,LEO1,LEO1,4932.YOR123C
1,LGE1,LGE1,LGE1,4932.YPL055C
1,LIF1,LIF1,LIF1,4932.YGL090W
1,LRS4,LRS4,LRS4,4932.YDR439W
1,LTE1,LTE1,LTE1,4932.YAL024C
