node_label,queryItem,stringId,preferredName
DAD3,DAD3,4932.YBR233W-A,DAD3
DAD4,DAD4,4932.YDR320C-A,DAD4
DAM1,DAM1,4932.YGR113W,DAM1
DBF2,DBF2,4932.YGR092W,DBF2
DBF4,DBF4,4932.YDR052C,DBF4
DBP6,DBP6,4932.YNR038W,DBP6
DCC1,DCC1,4932.YCL016C,DCC1
DCP1,DCP1,4932.YOL149W,DCP1
DCP2,DCP2,4932.YNL118C,DCP2
DCS1,DCS1,4932.YLR270W,DCS1
DCS2,DCS2,4932.YOR173W,DCS2
DDC1,DDC1,4932.YPL194W,DDC1
DEF1,DEF1,4932.YKL054C,DEF1
DEP1,DEP1,4932.YAL013W,DEP1
DER1,DER1,4932.YBR201W,DER1
DIB1,DIB1,4932.YPR082C,DIB1
DID4,DID4,4932.YKL002W,DID4
DIG1,DIG1,4932.YPL049C,DIG1
DIG2,DIG2,4932.YDR480W,DIG2
DIP2,DIP2,4932.YLR129W,DIP2
DIS3,DIS3,4932.YOL021C,DIS3
DLS1,DLS1,4932.YJL065C,DLS1
DNL4,DNL4,4932.YOR005C,DNL4
DOC1,DOC1,4932.YGL240W,DOC1
DPB11,DPB11,4932.YJL090C,DPB11
DPB2,DPB2,4932.YPR175W,DPB2
DPB3,DPB3,4932.YBR278W,DPB3
DPB4,DPB4,4932.YDR121W,DPB4
DSL1,DSL1,4932.YNL258C,DSL1
DSN1,DSN1,4932.YIR010W,DSN1
DSS1,DSS1,4932.YMR287C,DSS1
DUO1,DUO1,4932.YGL061C,DUO1
DYN1,DYN1,4932.YKR054C,DYN1
DYN2,DYN2,4932.YDR424C,DYN2
DYN3,DYN3,4932.YMR299C,DYN3
EAF1,EAF1,4932.YDR359C,EAF1
EAF3,EAF3,4932.YPR023C,EAF3
EAF5,EAF5,4932.YEL018W,EAF5
EAF6,EAF6,4932.YJR082C,EAF6
EAF7,EAF7,4932.YNL136W,EAF7
ECM29,ECM29,4932.YHL030W,ECM29
EFB1,EFB1,4932.YAL003W,EFB1
EGD1,EGD1,4932.YPL037C,EGD1
EGD2,EGD2,4932.YHR193C,EGD2
ELA1,ELA1,4932.YNL230C,ELA1
ELC1,ELC1,4932.YPL046C,ELC1
ELG1,ELG1,4932.YOR144C,ELG1
ELP2,ELP2,4932.YGR200C,ELP2
ELP3,ELP3,4932.YPL086C,ELP3
ELP4,ELP4,4932.YPL101W,ELP4
ELP6,ELP6,4932.YMR312W,ELP6
EMP24,EMP24,4932.YGL200C,EMP24
END3,END3,4932.YNL084C,END3
EPL1,EPL1,4932.YFL024C,EPL1
ERP1,ERP1,4932.YAR002C-A,ERP1
ERP2,ERP2,4932.YAL007C,ERP2
ERV25,ERV25,4932.YML012W,ERV25
ERV41,ERV41,4932.YML067C,ERV41
ERV46,ERV46,4932.YAL042W,ERV46
ESA1,ESA1,4932.YOR244W,ESA1
ESP1,ESP1,4932.YGR098C,ESP1
EST1,EST1,4932.YLR233C,EST1
EST2,EST2,4932.YLR318W,EST2
EST3,EST3,4932.YIL009C-A,EST3
EXO70,EXO70,4932.YJL085W,EXO70
EXO84,EXO84,4932.YBR102C,EXO84
FAR1,FAR1,4932.YJL157C,FAR1
FAR10,FAR10,4932.YLR238W,FAR10
FAR11,FAR11,4932.YNL127W,FAR11
FAR3,FAR3,4932.YMR052W,FAR3
FAR7,FAR7,4932.YFR008W,FAR7
FAR8,FAR8,4932.YMR029C,FAR8
FET3,FET3,4932.YMR058W,FET3
FET5,FET5,4932.YFL041W,FET5
FIG4,FIG4,4932.YNL325C,FIG4
FIP1,FIP1,4932.YJR093C,FIP1
FKS1,FKS1,4932.YLR342W,FKS1
FRS1,FRS1,4932.YLR060W,FRS1
FRS2,FRS2,4932.YFL022C,FRS2
FTH1,FTH1,4932.YBR207W,FTH1
FTR1,FTR1,4932.YER145C,FTR1
FUS3,FUS3,4932.YBL016W,FUS3
FZO1,FZO1,4932.YBR179C,FZO1
GAC1,GAC1,4932.YOR178C,GAC1
GAL11,GAL11,4932.YOL051W,GAL11
GAL3,GAL3,4932.YDR009W,GAL3
GAL4,GAL4,4932.YPL248C,GAL4
GAL80,GAL80,4932.YML051W,GAL80
GAL83,GAL83,4932.YER027C,GAL83
GCD1,GCD1,4932.YOR260W,GCD1
GCD10,GCD10,4932.YNL062C,GCD10
GCD11,GCD11,4932.YER025W,GCD11
GCD14,GCD14,4932.YJL125C,GCD14
GCD2,GCD2,4932.YGR083C,GCD2
GCD6,GCD6,4932.YDR211W,GCD6
GCD7,GCD7,4932.YLR291C,GCD7
GCN1,GCN1,4932.YGL195W,GCN1
GCN20,GCN20,4932.YFR009W,GCN20
GCN3,GCN3,4932.YKR026C,GCN3
GCN5,GCN5,4932.YGR252W,GCN5
GCV1,GCV1,4932.YDR019C,GCV1
GCV2,GCV2,4932.YMR189W,GCV2
GCV3,GCV3,4932.YAL044C,GCV3
GET1,GET1,4932.YGL020C,GET1
GET2,GET2,4932.YER083C,GET2
GET3,GET3,4932.YDL100C,GET3
GIM3,GIM3,4932.YNL153C,GIM3
GIM4,GIM4,4932.YEL003W,GIM4
GIM5,GIM5,4932.YML094W,GIM5
GIP1,GIP1,4932.YBR045C,GIP1
GLC7,GLC7,4932.YER133W,GLC7
GLE1,GLE1,4932.YDL207W,GLE1
GLO3,GLO3,4932.YER122C,GLO3
GPA1,GPA1,4932.YHR005C,GPA1
GRH1,GRH1,4932.YDR517W,GRH1
GRR1,GRR1,4932.YJR090C,GRR1
GSC2,GSC2,4932.YGR032W,GSC2
GTR1,GTR1,4932.YML121W,GTR1
GTR2,GTR2,4932.YGR163W,GTR2
GUS1,GUS1,4932.YGL245W,GUS1
GYL1,GYL1,4932.YMR192W,GYL1
GYP5,GYP5,4932.YPL249C,GYP5
HAP2,HAP2,4932.YGL237C,HAP2
HAP3,HAP3,4932.YBL021C,HAP3
HAP4,HAP4,4932.YKL109W,HAP4
HAP5,HAP5,4932.YOR358W,HAP5
HAT1,HAT1,4932.YPL001W,HAT1
HAT2,HAT2,4932.YEL056W,HAT2
HCR1,HCR1,4932.YLR192C,HCR1
HDA1,HDA1,4932.YNL021W,HDA1
HDA2,HDA2,4932.YDR295C,HDA2
HDA3,HDA3,4932.YPR179C,HDA3
HFI1,HFI1,4932.YPL254W,HFI1
HHF1,HHF1,4932.YBR009C,HHF1
HHF2,HHF2,4932.YNL030W,HHF2
HHT1,HHT1,4932.YBR010W,HHT1
HHT2,HHT2,4932.YNL031C,HHT2
HIF1,HIF1,4932.YLL022C,HIF1
HIR1,HIR1,4932.YBL008W,HIR1
HIR2,HIR2,4932.YOR038C,HIR2
HIR3,HIR3,4932.YJR140C,HIR3
HOC1,HOC1,4932.YJR075W,HOC1
HOP1,HOP1,4932.YIL072W,HOP1
HOP2,HOP2,4932.YGL033W,HOP2
HOS2,HOS2,4932.YGL194C,HOS2
HOS4,HOS4,4932.YIL112W,HOS4
HPC2,HPC2,4932.YBR215W,HPC2
HPR1,HPR1,4932.YDR138W,HPR1
HRD1,HRD1,4932.YOL013C,HRD1
HRD3,HRD3,4932.YLR207W,HRD3
HRP1,HRP1,4932.YOL123W,HRP1
HRR25,HRR25,4932.YPL204W,HRR25
HRT1,HRT1,4932.YOL133W,HRT1
HSC82,HSC82,4932.YMR186W,HSC82
HSE1,HSE1,4932.YHL002W,HSE1
HSH155,HSH155,4932.YMR288W,HSH155
HSH49,HSH49,4932.YOR319W,HSH49
HSK3,HSK3,4932.YKL138C-A,HSK3
HST1,HST1,4932.YOL068C,HST1
HTA1,HTA1,4932.YDR225W,HTA1
HTA2,HTA2,4932.YBL003C,HTA2
HTB1,HTB1,4932.YDR224C,HTB1
HTB2,HTB2,4932.YBL002W,HTB2
HTL1,HTL1,4932.YCR020W-B,HTL1
HTZ1,HTZ1,4932.YOL012C,HTZ1
HYM1,HYM1,4932.YKL189W,HYM1
IDH1,IDH1,4932.YNL037C,IDH1
IDH2,IDH2,4932.YOR136W,IDH2
IES1,IES1,4932.YFL013C,IES1
IES3,IES3,4932.YLR052W,IES3
IES4,IES4,4932.YOR189W,IES4
IFH1,IFH1,4932.YLR223C,IFH1
IKI1,IKI1,4932.YHR187W,IKI1
IKI3,IKI3,4932.YLR384C,IKI3
ILV2,ILV2,4932.YMR108W,ILV2
ILV6,ILV6,4932.YCL009C,ILV6
IME1,IME1,4932.YJR094C,IME1
IMG1,IMG1,4932.YCR046C,IMG1
IMG2,IMG2,4932.YCR071C,IMG2
INH1,INH1,4932.YDL181W,INH1
INO80,INO80,4932.YGL150C,INO80
IOC2,IOC2,4932.YLR095C,IOC2
IOC3,IOC3,4932.YFR013W,IOC3
IOC4,IOC4,4932.YMR044W,IOC4
IPI1,IPI1,4932.YHR085W,IPI1
IPI3,IPI3,4932.YNL182C,IPI3
IPL1,IPL1,4932.YPL209C,IPL1
IPP1,PPA1,4932.YBR011C,IPP1
IRR1,IRR1,4932.YIL026C,IRR1
ISD11,ISD11,4932.YER048W-A,ISD11
IST3,IST3,4932.YIR005W,IST3
ISW1,ISW1,4932.YBR245C,ISW1
ISW2,ISW2,4932.YOR304W,ISW2
ISY1,ISY1,4932.YJR050W,ISY1
ITC1,ITC1,4932.YGL133W,ITC1
