dataset,n_nodes,n_edges,grid_index,grid_total,sim_metric,theta_sim,theta_overlap,runtime_sec,error,shen_modularity,modularity_overlap,modularity,internal_edge_density,conductance,normalized_cut,avg_transitivity,n_communities,max_community_size,coverage_ratio,uncovered_node_ratio,overlap_node_ratio,avg_memberships_per_covered_node,overlap_intensity
yeast,1613,41533,270,294,ra,0.5,0.4,6.859663963317871,,0.49844106402500044,0.49844106402500044,0.49881294136464055,0.49565781148551247,0.1705728426256464,0.18087578327476522,0.7998013912017864,10,710,1.0,0.0,0.0006199628022318661,1.0006199628022319,2.0
yeast,1613,41533,271,294,ra,0.5,0.5,6.5216875076293945,,0.49844106402500044,0.49844106402500044,0.49881294136464055,0.49565781148551247,0.1705728426256464,0.18087578327476522,0.7998013912017864,10,710,1.0,0.0,0.0006199628022318661,1.0006199628022319,2.0
yeast,1613,41533,272,294,ra,0.5,0.6,6.529609680175781,,0.49844106402500044,0.49844106402500044,0.49881294136464055,0.49565781148551247,0.1705728426256464,0.18087578327476522,0.7998013912017864,10,710,1.0,0.0,0.0006199628022318661,1.0006199628022319,2.0
yeast,1613,41533,273,294,ra,0.5,0.7,6.545586109161377,,0.49844106402500044,0.49844106402500044,0.49881294136464055,0.49565781148551247,0.1705728426256464,0.18087578327476522,0.7998013912017864,10,710,1.0,0.0,0.0006199628022318661,1.0006199628022319,2.0
yeast,1613,41533,260,294,ra,0.4,0.1,6.472379207611084,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,261,294,ra,0.4,0.2,6.499857425689697,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,262,294,ra,0.4,0.3,7.706202745437622,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,263,294,ra,0.4,0.4,7.7478179931640625,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,264,294,ra,0.4,0.5,7.6813976764678955,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
yeast,1613,41533,265,294,ra,0.4,0.6,7.64810585975647,,0.49818509944457073,0.49818509944457073,0.49881294136464055,0.4813720971997982,0.17476411135542408,0.18513626129919697,0.7931580345584297,10,710,1.0,0.0,0.0012399256044637321,1.0012399256044637,2.0
