queryItem,stringId,ncbiTaxonId,preferredName,resolvedQuery,mappingSource,mappingPriority,node_label
CHS5,4932.YLR330W,4932,CHS5,CHS5,direct_string,1,CHS5
CHS6,4932.YJL099W,4932,CHS6,CHS6,direct_string,1,CHS6
CHZ1,4932.YER030W,4932,CHZ1,CHZ1,direct_string,1,CHZ1
CKA1,4932.YIL035C,4932,CKA1,CKA1,direct_string,1,CKA1
CKA2,4932.YOR061W,4932,CKA2,CKA2,direct_string,1,CKA2
CKB1,4932.YGL019W,4932,CKB1,CKB1,direct_string,1,CKB1
CKB2,4932.YOR039W,4932,CKB2,CKB2,direct_string,1,CKB2
CLB1,4932.YGR108W,4932,CLB1,CLB1,direct_string,1,CLB1
CLB2,4932.YPR119W,4932,CLB2,CLB2,direct_string,1,CLB2
CLB3,4932.YDL155W,4932,CLB3,CLB3,direct_string,1,CLB3
CLB4,4932.YLR210W,4932,CLB4,CLB4,direct_string,1,CLB4
CLB5,4932.YPR120C,4932,CLB5,CLB5,direct_string,1,CLB5
CLB6,4932.YGR109C,4932,CLB6,CLB6,direct_string,1,CLB6
CLC1,4932.YGR167W,4932,CLC1,CLC1,direct_string,1,CLC1
CLF1,4932.YLR117C,4932,CLF1,CLF1,direct_string,1,CLF1
CLN1,4932.YMR199W,4932,CLN1,CLN1,direct_string,1,CLN1
CLN2,4932.YPL256C,4932,CLN2,CLN2,direct_string,1,CLN2
CLN3,4932.YAL040C,4932,CLN3,CLN3,direct_string,1,CLN3
CLP1,4932.YOR250C,4932,CLP1,CLP1,direct_string,1,CLP1
CLU1,4932.YMR012W,4932,CLU1,CLU1,direct_string,1,CLU1
CMD1,4932.YBR109C,4932,CMD1,CMD1,direct_string,1,CMD1
CMP2,4932.YML057W,4932,CMP2,CMP2,direct_string,1,CMP2
CNA1,4932.YLR433C,4932,CNA1,CNA1,direct_string,1,CNA1
CNB1,4932.YKL190W,4932,CNB1,CNB1,direct_string,1,CNB1
CNM67,4932.YNL225C,4932,CNM67,CNM67,direct_string,1,CNM67
COB,4932.Q0105,4932,COB,COB,direct_string,1,COB
COG1,4932.YGL223C,4932,COG1,COG1,direct_string,1,COG1
COG2,4932.YGR120C,4932,COG2,COG2,direct_string,1,COG2
COG3,4932.YER157W,4932,COG3,COG3,direct_string,1,COG3
COG4,4932.YPR105C,4932,COG4,COG4,direct_string,1,COG4
COG5,4932.YNL051W,4932,COG5,COG5,direct_string,1,COG5
COG6,4932.YNL041C,4932,COG6,COG6,direct_string,1,COG6
COG7,4932.YGL005C,4932,COG7,COG7,direct_string,1,COG7
COG8,4932.YML071C,4932,COG8,COG8,direct_string,1,COG8
COP1,4932.YDL145C,4932,COP1,COP1,direct_string,1,COP1
COQ3,4932.YOL096C,4932,COQ3,COQ3,direct_string,1,COQ3
COQ4,4932.YDR204W,4932,COQ4,COQ4,direct_string,1,COQ4
COR1,4932.YBL045C,4932,COR1,COR1,direct_string,1,COR1
COX1,4932.Q0045,4932,COX1,COX1,direct_string,1,COX1
COX12,4932.YLR038C,4932,COX12,COX12,direct_string,1,COX12
COX13,4932.YGL191W,4932,COX13,COX13,direct_string,1,COX13
COX14,4932.YML129C,4932,COX14,COX14,direct_string,1,COX14
COX2,4932.Q0250,4932,COX2,COX2,direct_string,1,COX2
COX3,4932.Q0275,4932,COX3,COX3,direct_string,1,COX3
COX4,4932.YGL187C,4932,COX4,COX4,direct_string,1,COX4
COX5A,4932.YNL052W,4932,COX5A,COX5A,direct_string,1,COX5A
COX6,4932.YHR051W,4932,COX6,COX6,direct_string,1,COX6
COX7,4932.YMR256C,4932,COX7,COX7,direct_string,1,COX7
